row,column,marker,perturbation,timepoint,replicate
B,2,SRC,EGF,0,1
B,3,MAP2K6,EGF,0,1
B,4,SRC,EGF,5,1
B,5,MAP2K6,EGF,5,1
B,6,SRC,EGF,15,1
B,7,MAP2K6,EGF,15,1
B,8,SRC,EGF,30,1
B,9,MAP2K6,EGF,30,1
B,10,SRC,EGF,60,1
B,11,MAP2K6,EGF,60,1
C,2,PDPK1,EGF,0,1
C,3,MAPK14,EGF,0,1
C,4,PDPK1,EGF,5,1
C,5,MAPK14,EGF,5,1
C,6,PDPK1,EGF,15,1
C,7,MAPK14,EGF,15,1
C,8,PDPK1,EGF,30,1
C,9,MAPK14,EGF,30,1
C,10,PDPK1,EGF,60,1
C,11,MAPK14,EGF,60,1
D,2,AKT1,EGF,0,1
D,3,MAPK1,EGF,0,1
D,4,AKT1,EGF,5,1
D,5,MAPK1,EGF,5,1
D,6,AKT1,EGF,15,1
D,7,MAPK1,EGF,15,1
D,8,AKT1,EGF,30,1
D,9,MAPK1,EGF,30,1
D,10,AKT1,EGF,60,1
D,11,MAPK1,EGF,60,1
E,2,GSK3B,EGF,0,1
E,3,RPS6KA1,EGF,0,1
E,4,GSK3B,EGF,5,1
E,5,RPS6KA1,EGF,5,1
E,6,GSK3B,EGF,15,1
E,7,RPS6KA1,EGF,15,1
E,8,GSK3B,EGF,30,1
E,9,RPS6KA1,EGF,30,1
E,10,GSK3B,EGF,60,1
E,11,RPS6KA1,EGF,60,1
F,2,CRAF,EGF,0,1
F,3,GFP-FLAG-1,EGF,0,1
F,4,CRAF,EGF,5,1
F,5,GFP-FLAG-1,EGF,5,1
F,6,CRAF,EGF,15,1
F,7,GFP-FLAG-1,EGF,15,1
F,8,CRAF,EGF,30,1
F,9,GFP-FLAG-1,EGF,30,1
F,10,CRAF,EGF,60,1
F,11,GFP-FLAG-1,EGF,60,1
G,2,MAP2K1,EGF,0,1
G,3,empty-1,EGF,0,1
G,4,MAP2K1,EGF,5,1
G,5,empty-1,EGF,5,1
G,6,MAP2K1,EGF,15,1
G,7,empty-1,EGF,15,1
G,8,MAP2K1,EGF,30,1
G,9,empty-1,EGF,30,1
G,10,MAP2K1,EGF,60,1
G,11,empty-1,EGF,60,1
