row,column,marker,perturbation,timepoint,replicate,readout
B,2,KRAS,GFP-N,0,1,GFP
B,3,MAPK1,GFP-N,0,1,GFP
B,4,GSK3B,GFP-N,0,1,GFP
B,5,MAP2K1,GFP-N,0,1,GFP
B,6,GFP-FLAG,GFP-N,0,1,GFP
B,7,empty,GFP-N,0,1,GFP
C,2,KRAS,GFP-N,15,1,GFP
C,3,MAPK1,GFP-N,15,1,GFP
C,4,GSK3B,GFP-N,15,1,GFP
C,5,MAP2K1,GFP-N,15,1,GFP
C,6,GFP-FLAG,GFP-N,15,1,GFP
C,7,empty,GFP-N,15,1,GFP
D,2,KRAS,FLAG-C,0,1,FLAG
D,3,MAPK1,FLAG-C,0,1,FLAG
D,4,GSK3B,FLAG-C,0,1,FLAG
D,5,MAP2K1,FLAG-C,0,1,FLAG
D,6,GFP-FLAG,FLAG-C,0,1,FLAG
D,7,empty,FLAG-C,0,1,FLAG
E,2,KRAS,FLAG-C,15,1,FLAG
E,3,MAPK1,FLAG-C,15,1,FLAG
E,4,GSK3B,FLAG-C,15,1,FLAG
E,5,MAP2K1,FLAG-C,15,1,FLAG
E,6,GFP-FLAG,FLAG-C,15,1,FLAG
E,7,empty,FLAG-C,15,1,FLAG
F,2,KRAS,FLAG-N,0,1,FLAG
F,3,MAPK1,FLAG-N,0,1,FLAG
F,4,GSK3B,FLAG-N,0,1,FLAG
F,5,MAP2K1,FLAG-N,0,1,FLAG
F,6,GFP-FLAG,FLAG-N,0,1,FLAG
F,7,empty,FLAG-N,0,1,FLAG
G,2,KRAS,FLAG-N,15,1,FLAG
G,3,MAPK1,FLAG-N,15,1,FLAG
G,4,GSK3B,FLAG-N,15,1,FLAG
G,5,MAP2K1,FLAG-N,15,1,FLAG
G,6,GFP-FLAG,FLAG-N,15,1,FLAG
G,7,empty,FLAG-N,15,1,FLAG
