old,new
IdU,IdU
pCREB,p-CREB
pSTAT5,p-STAT5
pSHP2,p-SHP2
pFAK,p-FAK
pMEK1and2,p-MEK1-2
pMAPAPK2,p-MAPKAPK2
pS6K,p-p70S6K
pMAP2K3,p-MKK3
pSTAT1,p-STAT1
pNFKB,p-NfkB
pP38,p-p38
pAMPK,p-AMPKalpha
pAKT,p-AKT
pERK,p-ERK1-2
pMARCKS,p-MARCKS
CYCLINB1,cyclin B1
pGSK3B,p-GSK3-Beta
pSMAD1and5and7,p-SMAD1-5
pMKK3andMKK6,p-MKK3-6
pPDPK1,p-PDPK1
pBTK,p-BTK
pP90RSK,p-p90RSK
pSMAD2and3,p-SMAD2-3
nonpBCAT,Beta-catenin
pSTAT3,p-STAT3
pJNK,p-JNK
pPLCG2,p-PLCg2
GFP,GFP
pHH3,p-HH3
pS6,p-S6
cleavedPARPandcleavedCASPASE3,cleaved PARP-cleaved caspase3
mTOR,p-mTOR
ECAD,E-cadherin
pRB,p-RB
p4EBP1,p-4EBP1
